City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,rain.3h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,snow.3h,snow.1h
32,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581138027,-18000,3670218,San Andres,200,-81.7,12.58,80.6,84.07,80.6,80.6,1015,78,10.29,70.0,,20,1.0,8623.0,CO,1581162676,1581204644,,,,,,
33,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138297,3600,2447416,Ayorou,200,0.92,14.73,61.57,51.12,61.57,61.57,1016,19,9.51,75.0,,0,,,NE,1581142997,1581184664,1016.0,987.0,,,,
34,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,,1581138298,21600,1185092,Thakurgaon,200,88.47,26.03,77.36,73.4,77.36,77.36,1020,25,2.66,52.0,,0,,,BD,1581122821,1581162815,1020.0,1013.0,,,,
35,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,,1581138298,46800,6201424,Mataura,200,168.86,-46.19,54.0,39.72,54.0,54.0,1022,63,21.99,222.0,0.19,91,3.0,2008959.0,NZ,1581097632,1581149414,,,38.99,,,
36,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,10000.0,1581138298,0,2629833,Husavik,200,-17.34,66.04,37.4,14.52,37.4,37.4,968,69,33.33,197.0,,98,1.0,83.0,IS,1581154988,1581181438,,,,,0.13,
37,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581138298,-14400,3495137,Pedernales,200,-71.74,18.04,64.53,61.56,64.53,64.53,1019,63,6.22,30.0,,0,,,DO,1581160662,1581201878,1019.0,959.0,,,,
38,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,,1581138298,-10800,3393692,Itarema,200,-39.92,-2.92,74.16,81.0,74.16,74.16,1010,96,4.16,79.0,0.19,50,,,BR,1581151636,1581195629,1010.0,1007.0,,,,
39,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,10000.0,1581138298,14400,934479,Grand Gaube,200,57.66,-20.01,80.83,84.4,80.6,81.0,1015,69,6.93,150.0,,40,1.0,2061.0,MU,1581127028,1581173397,,,,,,
40,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1581138298,43200,2122104,Petropavlovsk-Kamchatsky,200,158.65,53.05,28.4,15.33,28.4,28.4,1000,54,13.42,260.0,,84,1.0,8887.0,RU,1581109125,1581142823,,,,,,
41,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,,1581138299,7200,3366880,Hermanus,200,19.23,-34.42,66.2,66.56,64.0,68.0,1010,84,5.99,86.0,,0,3.0,2006131.0,ZA,1581135010,1581183862,,,11.99,,,
42,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,16093.0,1581138299,-32400,5554428,Ketchikan,200,-131.65,55.34,36.46,22.14,35.6,37.4,1013,74,18.34,290.0,,1,1.0,7741.0,US,1581092869,1581125621,,,,,,
43,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1581138299,-10800,3874787,Punta Arenas,200,-70.92,-53.15,49.78,45.81,48.0,51.8,1022,62,2.24,,,0,1.0,8487.0,CL,1581154039,1581208107,,,,,,
44,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,,1581138299,28800,1806840,Huilong,200,121.66,31.81,48.96,39.24,46.99,52.0,1032,63,12.3,352.0,,30,3.0,2001064.0,CN,1581115345,1581154359,,,,,,
45,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,7000.0,1581138299,25200,1490256,Talnakh,200,88.4,69.49,-4.0,-20.72,-4.0,-4.0,1000,76,17.9,170.0,,40,1.0,8951.0,RU,1581131616,1581154053,,,,,,
