City ID,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.3h,snow.3h,rain.1h,snow.1h
103,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187627,3600,777682,Skjervoy,200,20.97,70.03,40.42,34.05,40.42,40.42,996,81,5.82,145.0,100,,,NO,1581148131,1581169906,996.0,992.0,,,,,
104,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,,1581187331,3600,2537881,Safi,200,-9.24,32.3,58.55,52.34,58.55,58.55,1026,79,12.19,11.0,30,,,MA,1581146787,1581185751,1026.0,1011.0,,,,,
105,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,,1581187627,36000,2025256,Chumikan,200,135.31,54.72,-20.69,-28.98,-20.69,-20.69,1027,87,2.46,244.0,0,,,RU,1581201322,1581234636,1027.0,996.0,,,,,
106,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,10000.0,1581187627,7200,1007311,Durban,200,31.03,-29.86,76.41,80.56,73.99,78.01,1011,83,6.93,190.0,88,1.0,1934.0,ZA,1581132611,1581180597,,,,5.13,,,
107,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,16093.0,1581187627,-36000,5847411,Kahului,200,-156.47,20.89,64.04,63.64,61.0,66.2,1011,72,3.36,170.0,20,1.0,7879.0,US,1581181195,1581222017,,,,,,,
108,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1581187627,0,3412093,Vestmannaeyjar,200,-20.27,63.44,37.4,29.62,37.4,37.4,965,74,6.93,170.0,40,1.0,93.0,IS,1581154640,1581183193,,,,,,,
109,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,,1581187627,46800,6201424,Mataura,200,168.86,-46.19,52.0,43.72,52.0,52.0,1022,94,15.01,225.0,98,3.0,2008959.0,NZ,1581184125,1581235729,,,25.01,,,,
110,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1581187627,7200,1006984,East London,200,27.91,-33.02,68.0,72.55,68.0,68.0,1015,94,2.24,350.0,20,1.0,1912.0,ZA,1581133064,1581181641,,,,,,,
111,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581187627,28800,2074865,Carnarvon,200,113.63,-24.87,77.0,72.7,77.0,77.0,1006,88,24.16,190.0,100,1.0,9505.0,AU,1581199648,1581246717,,,,,,,
112,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,,1581187628,46800,2181133,Pareora,200,171.21,-44.49,46.99,43.32,46.99,46.99,1021,95,4.7,234.0,5,3.0,20853.0,NZ,1581183801,1581234925,,,,,,,
113,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1581187628,36000,2174444,Bowen,200,148.23,-20.02,77.63,85.78,75.2,80.01,1005,94,4.7,190.0,90,1.0,9503.0,AU,1581191715,1581238041,,,,,,,
114,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,16093.0,1581187628,-18000,5282297,Bethel,200,-73.41,41.37,37.04,23.49,30.99,41.0,1021,47,14.99,250.0,75,1.0,3888.0,US,1581163086,1581200255,,,24.16,,,,
115,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,10000.0,1581187628,-36000,4033356,Tiarei,200,-149.33,-17.53,83.62,89.74,80.6,86.0,1014,74,6.93,80.0,75,1.0,7318.0,PF,1581176907,1581222877,,,,,,,
116,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,2500.0,1581187628,19800,1262168,Nagram,200,81.13,26.62,51.8,49.1,51.8,51.8,1021,93,4.88,297.0,0,1.0,9176.0,IN,1581210992,1581250974,,,,,,,
117,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,24140.0,1581187628,-14400,7303783,Sydney Mines,200,-60.22,46.24,21.63,2.28,19.0,24.01,1006,62,24.16,270.0,90,1.0,911.0,CA,1581160524,1581196485,,,,,,,
118,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,,1581187628,14400,287832,Ibra,200,58.53,22.69,67.1,60.51,67.1,67.1,1020,49,10.6,135.0,60,,,OM,1581129745,1581170262,1020.0,974.0,,,,,
119,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,,1581187628,7200,457912,Ligatne,200,25.04,57.23,34.5,29.5,34.0,35.01,1018,97,3.0,225.0,98,3.0,2010293.0,LV,1581142007,1581174076,,,7.0,,,,
120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,16093.0,1581187562,-18000,4845585,Westport,200,-73.36,41.14,38.23,24.98,33.8,42.01,1021,38,13.87,260.0,75,1.0,3409.0,US,1581163048,1581200269,,,21.92,,,,
121,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,,1581187628,-10800,3443061,Chui,200,-53.46,-33.7,72.05,71.44,72.05,72.05,1012,90,13.71,177.0,97,,,UY,1581152539,1581201225,1012.0,1012.0,,3.69,,,
122,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,,1581187628,43200,2123814,Leningradskiy,200,178.42,69.38,-20.22,-39.44,-20.22,-20.22,1029,94,21.9,293.0,100,,,RU,1581196120,1581219145,1029.0,1027.0,,,,,
123,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,8000.0,1581187441,28800,1735106,George Town,200,100.34,5.41,79.41,88.83,78.01,80.6,1013,88,2.24,,40,1.0,9429.0,MY,1581204912,1581247832,,,,,,,
124,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,16093.0,1581187628,-18000,4513583,Hamilton,200,-84.53,39.18,33.96,27.48,32.0,36.0,1021,86,4.7,250.0,90,1.0,4476.0,US,1581165513,1581203166,,,,,,0.51,
125,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1581187629,3600,2939945,Coesfeld,200,7.15,51.93,48.36,41.14,46.0,50.0,1019,66,8.05,190.0,75,1.0,1269.0,DE,1581145239,1581179431,,,,,,,
126,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,16093.0,1581187629,-25200,3985710,Cabo San Lucas,200,-109.91,22.89,73.0,71.47,69.8,75.99,1018,46,3.36,210.0,20,1.0,7151.0,MX,1581170172,1581210690,,,,,,,
127,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1581187629,39600,2172880,Byron Bay,200,153.62,-28.65,71.06,75.31,70.0,71.6,1005,94,5.32,41.0,75,1.0,9537.0,AU,1581189729,1581237440,,,,,,,
128,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1581187629,-14400,3662342,Sao Gabriel da Cachoeira,200,-67.09,-0.13,91.4,97.03,91.4,91.4,1009,52,4.7,210.0,40,1.0,8449.0,BR,1581158339,1581201969,,,,,,,
129,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,,1581187629,-10800,3472820,Aguia Branca,200,-40.74,-18.98,83.46,90.37,83.46,83.46,1012,70,3.71,56.0,49,,,BR,1581150730,1581196929,1012.0,992.0,,2.56,,,
130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,16093.0,1581187629,-28800,5563839,Fortuna,200,-124.16,40.6,50.47,38.57,48.2,52.0,1025,76,18.34,350.0,20,1.0,4127.0,US,1581175170,1581212532,,,26.4,,,,
131,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1581187629,7200,686090,Asau,200,26.4,46.43,26.8,21.11,26.6,27.0,1030,73,1.12,310.0,71,1.0,6909.0,RO,1581139782,1581175649,,,,,,,
